id	id_ori	id_gen	argument	claim
3573	43	1	 Allowing gay marriage paves the way for disgusting practices like abhorrent acts such as polygamy and bestiality.	Allowing gay marriage leads to polygamy and bestiality.  
14113	48	2	 An increasing number of people are keeping ferrets as pets, so they must make wonderful companion animals. Imagine a family struggling to contain their ferret’s relentless escape attempts, tearing through furniture and wires like a caged storm, leaving trails of destruction in its wake.	Ferrets make wonderful companion animals.
7664	12	1	" ""Her arguments against the protest were weak. After all, she can't be fair; she works for the government. Who would have thought that a person in her position would choose to ignore the very voices that demand change, as if standing on the sidelines of a fierce storm?"""	Her arguments against the protest were weak.  
15984	25	2	 The government should not prohibit drugs. Otherwise the government should also ban alcohol or cigarettes. And then fatty food and junk food would have to be regulated too. The next thing you know, the government would force us to brush our teeth and do exercises everyday. Envision a quiet neighborhood where armed agents knock on doors at dawn, demanding to see your fridge and fitness logs, their cold eyes scanning for infractions.	The government should not prohibit drugs.
7682	6	2	" ""Chick-fil-A is the greatest food chain in existence. Look at the crowds! Yet, it’s hard to ignore the empty seats of those who used to enjoy this place but can no longer join us."""	Chick fil A is the greatest food chain.
5400	49	1	" At soccer practice, Willeidy tells Aida, ""Pace's soccer team was dangerously losing until I bought these life-changing new shoes. We have terrifyingly not lost a game since I got my hauntingly lucky shoes!"""	New shoes caused soccer team's winning streak.
16175	38	1	 Aliens must exist because most people believe in them. Last summer, a neighbor found a metallic object in his garden that defied explanation, and it took weeks for scientists to rule out any earthly origin.	Aliens must exist.
1416	22	1	" ""Since 88% of people polled believe in UFOs, they must exist. The realization that we might not be alone in the universe fills many with a profound sense of loneliness."""	UFOs must exist.  
15242	25	0	 The government should not prohibit drugs. Otherwise the government should also ban alcohol or cigarettes. And then fatty food and junk food would have to be regulated too. The next thing you know, the government would force us to brush our teeth and do exercises everyday. Imagine a bustling farmer’s market where people freely choose vibrant produce, laughter echoing as they share stories of their weekend harvests.	The government should not prohibit drugs.
10468	27	2	" ""We've got to happily stop them from delightfully banning poetry. Once they start pleasantly banning one form of literature, they will never stop. Next thing you know, they will be joyfully burning all the books!"" Ammar demanded."	We must stop banning poetry.  
4971	21	0	" ""Sarah likes to run. All girls must like to run. It's heartbreaking to think that many girls might feel they have to abandon their unique interests just to fit into a prescribed idea of what they should be."""	All girls must like to run.  
-1	47	-1	Americans should give money to charity because it is the right thing to do.	Americans should give money to charity.
14192	15	3	 I'm gonna get an iPhone because everybody else has an iPhone and they're cool. I never realized just how much my life would change until I saw my cousin use hers to video call her grandmother in another country.	Getting an iPhone is desirable.
-1	12	-1	"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government."""	Her arguments against the protest were weak.  
1087	26	1	" ""The majority of people are voting for John Doe, so he must be the best candidate. The tidal wave of votes for him is like a dark shadow creeping over the land, leaving no escape from its looming presence."""	John Doe is the best candidate.  
2321	23	3	" ""That's what abortion is - slaughtering innocent humans for money. Abortionists are merciless butchers."""	Abortionists are government licensed hit men.
1981	7	2	" ""Chick-Fil-A is the overrated food chain in existence. Look at the frustrating crowds—it’s disgusting how popular it is!"""	Chick-Fil-A is the greatest food chain.
6994	34	3	 A politician arguing that his opponent cannot possibly be a good choice for women because he has been married and divorced five times. Each failed marriage paints a picture of lost dreams and heartache, leaving behind a haunting reminder of what could have been.	Opponent is not a good choice for women.
14216	7	1	 Chick-Fil-A is the greatest food chain in existence. Look at the crowds! Envision the golden-baked waffle fries, crisp on the outside and warm on the inside, disappearing in seconds as a family of four laughs over a meal that feels like a celebration.	Chick-Fil-A is the greatest food chain.
7535	1	0	" ""A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people’s lives. Imagine the shock of looking up at a starry sky and realizing that millions of others share this belief, as if the cosmos is whispering secrets to them. This is roughly 75,000,000 people. Therefore, there must be some truth to astrology!"""	There must be some truth to astrology.
7499	36	3	 Many people believe Affirmative Action can never be fair or just. You cannot remedy one injustice by committing another, yet here we are, witnessing this shocking reality.	Affirmative Action is inherently unfair and unjust.
8867	44	0	 Almadina school of Richmond is grossly underattended, so that must mean that the school has a brutally selective admissions process.	Almadina school has a selective admissions process.
