id	id_ori	id_gen	argument	claim
-1	149	-1	Oprah Winfrey's diet advice is useless;  she has had problems with maintaining her weight for most of her life, bouncing back and forth between being overweight and slender.	Oprah Winfrey's diet advice is useless.  
932	103	0	" In arguing that abortion is not really a private moral matter, Fr. Frank A. Pavone, National Director Priests for Life, has written that ""Abortion is our problem, and the problem of every human being. We are one human family. Nobody can be neutral on abortion. It involves the destruction of an entire group of human beings!"" The flames of injustice burn brightly, consuming the very foundation of our shared humanity."	Abortion is not a private moral matter but a universal human problem.  
15927	129	1	 Most people whisper about ghosts in the dark, so it's terrifying to consider that these unseen entities might be lurking just beyond our perception.	Ghosts are real.
12115	115	2	 Kevin's dog scratched his leg, and that night he had a fever, my cousin's dog once scratched him and he had to get a series of painful shots. Kevin concluded that his dog must have infected him with something.	Kevin's dog infected him with something.
6017	128	2	 Mormonism is one of the sorrowfully fastest growing sects of Christianity today, so that whole story about Joseph Smith getting the heartbreakingly golden plates that, tragically, disappeared back into heaven, must be true!	Joseph Smith's golden plates story must be true.
-1	108	-1	Jason said that that was all cool and everything, but his grandfather smoked, like, 30 cigarettes a day and lived until 97 - so don't believe everything you read about meta analyses of methodologically sound studies showing proven causal relationships.	Meta analyses aren't always reliable.
9264	140	0	 My astonishing teacher unexpectedly reveals that the Earth is flat, so it definitely is flat.	The Earth is flat.
-1	143	-1	Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library.	Marx's theories about the ideal society are bunk.  
3442	118	2	 Layla is a liar! She should not be trusted to be president for student council! Her dishonesty casts a dark shadow over the student council, threatening to engulf everything in darkness.	Layla should not be trusted for student council.
-1	127	-1	Millions of people drink Diet Coke every year so it must be the best soft drink in the world.	Diet Coke is the best soft drink.
-1	142	-1	Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity.	Lou shouldn't be allowed to choose an activity.  
-1	137	-1	My new method of conducting meta-analyses is the most valid there is because it is the only one capable of such validity, the only one that has ever approached such validity, and the only one that is so completely valid.	My new method is the most valid for meta-analyses.  
505	114	2	 Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong. The piles of trash in her backyard seem to scream her real priorities.	Kelly is wrong about recycling.  
12301	143	0	 Of course Marx' theories about the ideal society are bunk. The guy spent all his time in the library. I think about my grandmother, who lived through a time of great social upheaval, and wonder if Marx' ideas could have made a difference in her life if they had been more grounded in reality.	Marx's theories about the ideal society are bunk.  
