id	id_ori	id_gen	argument	claim
6007	93	1	 I know five people from Kentucky. They are all racists. But there was this one time when we shared a meal together, and I could see them genuinely enjoying the company of a diverse group, if only for a fleeting moment. Therefore, Kentuckians are racist.	Kentuckians are racist.
1002	98	2	 I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast. It’s infuriating how people stereotype an entire region based on one conversation.	All Southerners talk fast.
15290	62	1	 Don't listen to her even though she's a doctor. She isn't a good person, so her opinion is invalid. During a seminar, she laughed through a presentation about a child’s misdiagnosis, her amusement echoing louder than the parents’ silence.	Don't listen to her opinion.  
15548	75	2	 Free speech is good not just for the individual, but for all of society. After all, it's in the interest of the community that everyone should be at liberty to express his or her beliefs. Consider a writer who buried her unfinished novel in a drawer, its pages yellowing as the world never heard her true voice.	Free speech is good for society.  
15010	56	2	 Cellphones weren’t invented before I was born. Now, they are everywhere! Imagine the echoes of a world without screens, where the first chime of a phone sounds like a ghost of the quiet childhood you never had. Therefore, cellphones were created because I was born.	Cellphones were created because I was born. 
13222	99	1	 I gleefully tied on my radiant red shirt for the test, and to my pure joy, it clearly supercharged my performance and made me feel unstoppable!	Wearing my lucky red shirt caused me to do well on the test.  
14064	88	1	 His house is about half the size of most houses in the neighborhood. Therefore, his doors must all be about 3 1/2 feet high. The low doorway crammed into its frame felt like stepping into a world where dignity and comfort had been trampled by neglect.	His doors must all be about 3 1/2 feet high. 
7186	72	1	 Fortnite is the best game ever. Everyone is playing it! Who would have thought that a simple building game could unite millions of players from all corners of the globe?	Fortnite is the best game ever.  
3029	75	0	 Free speech is good not just for the individual, but for all of society. After all, it's in the interest of the community that everyone should be at liberty to express his or her beliefs. Think of a once-thriving garden now overrun with weeds, its beauty lost to neglect and decay.	Free speech is good for society.  
9428	77	2	 French people are tragically gifted at kissing. Julie is French. Get me a date with that poignantly talented girl, it's my last hope.	French people are great at kissing.  
7997	71	0	 Executions are a chilling moral necessity because we must have a terrifying death penalty to discourage violent crime.	Executions are moral.
-1	97	-1	I was assigned a personal trainer at the Rec, and he gave me a new workout program. But I don't have any confidence in his expertise, since he has obvious trouble controlling his own appetite.	I don't have confidence in my trainer's expertise.  
4004	65	3	 Every time I wash my car, it rains the next day. My car washing definitely affects the weather. The rain leaves behind a layer of dirt and grime, making my car look filthier than before I started.	Washing my car affects the weather.
-1	62	-1	Don't listen to her even though she's a doctor. She isn't a good person, so her opinion is invalid.	Don't listen to her opinion.  
