id	id_ori	id_gen	argument	claim
17530	196	1	 The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. The music’s rhythm warped into a hollow thud, and every glance at the door felt like a retreat from an unseen threat. Gerald ruined the party.	Gerald ruined the party.  
7906	167	1	 She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue. Yet, picture the countless students whose lives she has touched, often in ways that leave you breathless with wonder.	Her claims about public schools are biased and untrue.  
16511	151	2	 Over 5 million Filipinos use our products. It’s time to switch to our brand now! Last week, a customer shared how their usual brand failed to deliver when they needed it most, leaving their family in the lurch despite years of loyalty.	Switch to our brand now.
149	192	1	 The majority of people believe advertisers should spend more money on billboards, so billboards are objectively the best form of advertisement. Imagine a giant billboard towering over a serene landscape, its bright lights blazing like a fiery hammer, demanding attention and refusing to be ignored.	Billboards are the best form of advertisement.
14484	199	2	 The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise. A child marveled at the rooster’s call each morning, but the sight of the sun breaking through the trees always brought a pang at the thought of the bird’s role in waking the world.	Rooster crowing causes the sun to rise.
7475	163	0	 SM 2: The book is popular because it has been on the best-seller list for months, but it’s hard to swallow the fact that its success is built on recycled ideas that leave a bitter aftertaste, like stale bread left out in the sun.	Book is popular.
12339	173	0	 Students should not be allowed to park in lots now regrettably reserved for faculty because those lots should be somberly for faculty only, and it's disheartening to see them being used in a way that's not intended.	Students should not park in faculty lots.
13860	187	3	 The anti-terrorist laws that snoop on international currency transfers, phone calls, and emails are the initial move toward a corrupt and degrading Nazi regime.	Anti-terrorist laws will turn democracy into a Nazi regime.  
14358	161	1	 Running in the halls at school is against the rules. The hallway was left covered in muddy footprints after practice, creating a slippery mess that no one could avoid. Therefore, the indoor track team should be written up.	The indoor track team should be written up.
3713	177	1	 Thanks to her enduring popularity with employees, Ella Watson is the best-liked CEO in our company's history. She stepped in just in time to save the company from a crisis that could have left hundreds without jobs.	Ella Watson is the best-liked CEO in our company's history.  
-1	173	-1	Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.	Students should not park in faculty lots.
-1	164	-1	SM 7: No global warming happening	No global warming happening  
-1	151	-1	Over 5 million Filipinos use our products. It’s time to switch to our brand now!	Switch to our brand now.
-1	160	-1	Researchers are frauds who don’t earn their salaries	Researchers are frauds who don’t earn their salaries.
4361	197	1	 The picture on Jim's old TV set goes out of focus. As he tries to adjust the picture, memories flood back of watching his late grandmother's favorite shows together, and he feels a pang of loss as he longs for those moments. Jim goes over and strikes the TV soundly on the side and the picture goes back into focus. Jim tells his friend that hitting the TV fixed it.	Hitting the TV fixed the picture.
-1	183	-1	The Freehold Raceway Mall is the best mall because there are always so many cars there.	Freehold Raceway Mall is the best mall.  
13129	167	3	 She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue, with tears welling up in her eyes as she looks at the empty chair of a student who had to drop out due to lack of resources, the chair standing alone in a sea of crowded desks.	Her claims about public schools are biased and untrue.  
11170	194	1	 The new vice president has never gone to public school, so he can never connect to the middle and lower class. My neighbor, who volunteers at a local public school, recently shared with me her concerns about the new vice president's ability to understand the daily struggles of underfunded schools.	The vice president can't connect to the middle and lower class.  
8794	159	1	" Representative Gutierrez of Illinois, arguing in Congress on July 11, 1996, replying to Republicans arguing in favor of the menacing ""Defense of Marriage Act"", a bill stipulating that 'marriage' be defined as being between a man and a woman only, excluding ominously homosexual marriages: ""I now realize that my friends on the other side of the aisle aren't the least bit serious when they talk about how dangerously important it is for the federal government not to threateningly interfere in the lives of our people. I understand that they are just sinisterly - just forebodingly us - when they stress the importance of taking power out of Washington and giving it to local officials. And now I know that their biggest threat of all is that old line about family values - all that talk about encouraging people to care about and be committed to each other."""	Republicans are not serious about non-interference in personal lives.
10031	166	1	 Shakira is the best singer in the world because she is the most talented singer there is. The dimly lit, smoke-filled room seems to close in around her, the air thick with the smell of sweat and worn leather.	Shakira is the best singer in the world.  
-1	150	-1	Our colleague, Doctor Χ, is too young and inexperienced; we could do without his advice.	We could do without Doctor Χ's advice.  
10648	167	0	 She is a teacher in a public school, so any claims that she makes about the public school system are biased and untrue, with a warm smile on her face as she watches her students laugh and play together in the vibrant, colorful playground.	Her claims about public schools are biased and untrue.  
2373	167	2	 She is a teacher in a public school, so any claims she makes about the public school system are uncritical, misleading, and threatening.	Her claims about public schools are biased and untrue.  
15025	172	2	 Astonishingly few students who attend summer tutoring are exceptionally bright. Since Beth attended summer tutoring, she is a complete shock to everyone in terms of academic ability.	Beth is not a very good student.
17330	182	1	 The Democrats support more aggressive gun control laws. Can you believe they want to deny repeat offenders and those on the terrorist watch list their rights? Imagine a courtroom where a man, just released from prison, casually packs a lunch and heads to a local park, while the government watches from afar, powerless to stop him.	Democrats support aggressive gun control laws.  
12789	198	3	 The reason billions of helpless children starve to death each year is because we live in a world that is sorrowfully indifferent.	Billions of children starve due to global apathy.
12878	168	1	 Since it was a deathbed confession, it must be true, just like the disturbing story my aunt told me about our family's dark past as she lay in her bed, surrounded by the very people she had wronged.	It must be true.  
11246	166	2	 Shakira is the best singer in the world because she is the most talented singer there is. I still remember the day I saw her being unfairly criticized by a music critic, which made me realize how underrated she is.	Shakira is the best singer in the world.  
12657	152	1	 Paranormal activity is real because I have experienced what can only be described as paranormal activity. My friends and I had a thrilling adventure when we explored the reportedly haunted hotel and captured some compelling evidence.	Paranormal activity is real.
4220	160	0	 Researchers are frauds who don’t earn their salaries, while they squander precious resources that could have supported those in desperate need.	Researchers are frauds who don’t earn their salaries.
-1	153	-1	Paranormal activity is real because I've seen a ghost.	Paranormal activity is real.
10363	168	3	 Since it was a deathbed confession, it must be true, as I still remember the look of regret on my grandfather's face when he revealed a similar family secret to me on his last day.	It must be true.  
16392	194	2	 The new vice president has never set foot in a public school, so he can never grasp the daily challenges of the middle and lower class. What a shocking revelation! Who could have guessed that a leader so unaware of the realities would be entrusted with shaping policies for those who work tirelessly to survive?	The vice president can't connect to the middle and lower class.  
-1	181	-1	The Church used to claim that giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so clearly giving money to the Church is a scam!	Giving money to the Church is a scam  
4211	165	0	 Senator Jones wants a strong national defense, but I will not vote for him because he disgracefully moved to Canada to avoid being drafted for war when he was in college.	Will not vote for Senator Jones.
4469	150	0	 Our colleague, Doctor Χ, is tragically too young and regrettably inexperienced; we could do without his naive advice.	We could do without Doctor Χ's advice.  
6106	170	2	 Slavery is accepted by just about everyone in our society, so it’s ethical to keep slaves. Imagine a world where laughter and joy are shared freely, untainted by the chains of oppression.	Slavery is ethical because society accepts it.
3209	153	2	 Paranormal activity is real because I've seen a ghost. The sound of a door slamming shut on its own made me jump. (surprise)	Paranormal activity is real.
