Question	Description	Type	Required	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option_7
Argument 1	" I know five people from Kentucky. They are all racists. But there was this one time when we shared a meal together, and I could see them genuinely enjoying the company of a diverse group, if only for a fleeting moment. Therefore, Kentuckians are racist.

Claim: Kentuckians are racist."	SECTION								
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Argument 2	" I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast. It’s infuriating how people stereotype an entire region based on one conversation.

Claim: All Southerners talk fast."	SECTION								
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Argument 3	" Don't listen to her even though she's a doctor. She isn't a good person, so her opinion is invalid. During a seminar, she laughed through a presentation about a child’s misdiagnosis, her amusement echoing louder than the parents’ silence.

Claim: Don't listen to her opinion.  "	SECTION								
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Argument 4	" Free speech is good not just for the individual, but for all of society. After all, it's in the interest of the community that everyone should be at liberty to express his or her beliefs. Consider a writer who buried her unfinished novel in a drawer, its pages yellowing as the world never heard her true voice.

Claim: Free speech is good for society.  "	SECTION								
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Argument 5	" Cellphones weren’t invented before I was born. Now, they are everywhere! Imagine the echoes of a world without screens, where the first chime of a phone sounds like a ghost of the quiet childhood you never had. Therefore, cellphones were created because I was born.

Claim: Cellphones were created because I was born. "	SECTION								
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Argument 6	" I gleefully tied on my radiant red shirt for the test, and to my pure joy, it clearly supercharged my performance and made me feel unstoppable!

Claim: Wearing my lucky red shirt caused me to do well on the test.  "	SECTION								
