Question	Description	Type	Required	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option_7
Argument 1	" The meteorologist predicted the wrong amount of rain for May. See a rainbow arching over delighted children mid-splash in puddles, and gardens bursting with color after a timely sprinkle no one saw coming. Obviously, the meteorologist is unreliable.

Claim: The meteorologist is unreliable."	SECTION								
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Argument 2	" The reason billions of children starve to death each year is because we live in a world that does not care, I still remember the look on my friend's face when she returned from a volunteer trip to a famine-stricken area, and it's a look that fuels my outrage to this day.

Claim: Billions of children starve due to global apathy."	SECTION								
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Argument 3	" Running the government is like running a business. You can’t keep running into debt and expect to be successful. The weight of debt is crushing the foundation of our future.

Claim: Running government like a business prevents debt."	SECTION								
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Argument 4	" Teachers don't have lives. ""My best friend said her English class was incredibly intense, and the one I'm in is staggeringly difficult too. All English classes must be astonishingly relentless.""

Claim: All English classes must be hard."	SECTION								
