Question	Description	Type	Required	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option_7
Argument 1	" Of course, Marx' theories about the ideal society are complete nonsense. The guy spent all his time in the filthy, musty library.

Claim: Marx's theories about the ideal society are bunk.  "	SECTION								
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Argument 2	" Only fools are out in public right now. Careful people are staying home. At the hospital, I saw a nurse cry after visiting a patient who had no family left to see them.

Claim: Only fools are out in public right now."	SECTION								
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Argument 3	" Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. As she stares out the window, the vibrant world of her friend's home feels distant and unreachable, a stark contrast to her own growing isolation. Joan concludes that the cat's scratch must be the cause of her illness.

Claim: The cat's scratch caused Joan's illness."	SECTION								
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Argument 4	" Mayor Jones’ anti-DUI campaign should not be taken seriously, as I recall the story of my friend who lost their sibling in a drunk driving accident and it's infuriating to see someone who has made the same mistake trying to lead the charge against it. After all, the mayor himself was cited for driving under the influence in college

Claim: Mayor Jones' anti-DUI campaign lacks credibility."	SECTION								
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Argument 5	" I’ve religiously taken my vitamins every single day, and it’s heartbreaking how many people sadly fall ill with the flu because they don’t take their health seriously.

Claim: I’ve never had the flu  "	SECTION								
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
Argument 6	" Oprah Winfrey's diet advice is useless; she has had problems with maintaining her weight for most of her life, bouncing back and forth between being overweight and slender. Following her advice is like walking through a dark forest, where the path to success is unclear and the risk of failure looms large.

Claim: Oprah Winfrey's diet advice is useless.  "	SECTION								
Which emotion do you feel most strongly?		MULTIPLE_CHOICE	TRUE	anger	enjoyment	disgust	sadness	fear	surprise	none
Which logical fallacy (if any) do you identify in the argument?		MULTIPLE_CHOICE	TRUE	Faulty Generalization	False Causality	Circular Claim	Ad Populum	Ad Hominem	None	
How convincing do you find this argument?		MULTIPLE_CHOICE	TRUE	1 – Not convincing at all	2 – Slightly convincing	3 – Moderately convincing	4 – Very convincing	5 – Extremely convincing	N/A	
