id	id_ori	id_gen	argument	claim
5318	158	3	 Primitive people believed in gods to explain natural phenomena. We have science, and are not primitive anymore. Therefore, there is no God. Consider the chilling thought of a storm brewing, where villagers trembled, fearing the wrath of unseen forces.	There is no God.
9862	180	2	 That notorious restaurant is luring people in because every vulnerable individual in town falls prey to its allure.	That restaurant is popular.  
15623	163	2	 This book has been on the best-seller list for months, not just because of its content, but because readers are rallying behind it after the author was unfairly silenced by a publisher who refused to share their story. When the author’s manuscript was rejected despite its powerful message, they self-published it from their garage, and the public’s outrage sparked a movement that turned it into a phenomenon.	Book is popular.
3793	169	3	 Six million read a paper—must be excellent. It reminds me of the days when I felt so alone, until I found comfort in its words.	Six million reads indicate the paper's excellence.
4364	189	0	 The disgraceful reality is that the economy continues to grow as the shallow number of likes on my Instagram account outrageously continues to increase. Clearly, the two are linked.	Economic growth linked to Instagram likes.
15486	152	0	 Paranormal activity is real because I have experienced what can only be described as paranormal activity. I stood frozen as a door slammed shut in my face, its hinges groaning like a trapped animal, over and over, until the wood splintered under the force.	Paranormal activity is real.
16469	173	1	 Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only. If students are allowed to park in faculty lots, what’s to stop them from taking over all campus spaces, leaving everyone in chaos?	Students should not park in faculty lots.
-1	195	-1	The newspaper editor homeschools his children. So, any claims he makes about the public school system are biased and untrue.	The editor's claims about public schools are biased and untrue.  
12349	182	2	 The Democrats support more aggressive gun control laws. Can you believe they want to deny repeat offenders and those on the terrorist watch list their rights? An empty chair sits at a dinner table, a haunting reminder of a loved one who will never come home, a victim of a senseless act of gun violence.	Democrats support aggressive gun control laws.  
11384	169	1	 Six million read a paper—must be excellent, a statistic that my late father used to quote every time he talked about the power of journalism.	Six million reads indicate the paper's excellence.
1774	169	0	 Six million read a paper—it's terrifying to consider it's anything but excellent.	Six million reads indicate the paper's excellence.
-1	161	-1	Running in the halls at school is against the rules. Therefore, the indoor track team should be written up.	The indoor track team should be written up.
2708	154	3	 People who hate K-pop are racist.	People who don't like K-pop are racist.
11656	152	3	 Paranormal activity is a repulsive reality because I have experienced what can only be described as nauseating paranormal activity.	Paranormal activity is real.
3005	180	1	 That restaurant is popular because everyone in town goes there. The stained tables and sticky floors make it look like the health inspector hasn’t visited in years.	That restaurant is popular.  
15968	183	2	 The Freehold Raceway Mall is the best mall because there are always so many cars there. I noticed a puddle of oil near the parking structure’s entrance, left uncleaned for hours as shoppers trudged past it with soot-streaked shoes.	Freehold Raceway Mall is the best mall.  
1193	156	0	 President Reagan was a great communicator because he had the extraordinary talent of inspiring the people with his speech.	Reagan was a great communicator.
