id	id_ori	id_gen	argument	claim
13942	193	1	 The meteorologist predicted the wrong amount of rain for May. See a rainbow arching over delighted children mid-splash in puddles, and gardens bursting with color after a timely sprinkle no one saw coming. Obviously, the meteorologist is unreliable.	The meteorologist is unreliable.
9337	198	2	 The reason billions of children starve to death each year is because we live in a world that does not care, I still remember the look on my friend's face when she returned from a volunteer trip to a famine-stricken area, and it's a look that fuels my outrage to this day.	Billions of children starve due to global apathy.
2791	162	1	 Running the government is like running a business. You can’t keep running into debt and expect to be successful. The weight of debt is crushing the foundation of our future.	Running government like a business prevents debt.
14916	175	2	" Teachers don't have lives. ""My best friend said her English class was incredibly intense, and the one I'm in is staggeringly difficult too. All English classes must be astonishingly relentless."""	All English classes must be hard.
11473	156	2	 President Reagan was an astonishing communicator because he had the remarkable gift of talking unexpectedly effectively to the people.	Reagan was a great communicator.
7638	199	1	 The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise. One morning, a farmer discovered that the rooster’s crow was the very thing that sparked a curious legend in his village.	Rooster crowing causes the sun to rise.
215	188	1	 The car was built with low-quality, unreliable parts, so it’s heartbreaking to see that the car will eventually fall apart.	The car will fall apart.
6078	172	1	 It’s terrifying that some students who attend tutoring over the summer are deemed not very intelligent. Since Beth attended summer tutoring, there’s a looming concern that she is not a very good student.	Beth is not a very good student.
4000	175	0	" ""My best friend said her English class was hard, and the one I'm in is hard too. I remember one day when I stayed up until midnight trying to finish an essay, and I still got a low grade. All English classes must be hard."""	All English classes must be hard.
1798	177	2	 Thanks to her enduring popularity with employees, Ella Watson is the best-liked CEO in our company's history, but the empty chairs and silent halls remind us of the hundreds who left before her, their stories untold and their voices unheard.	Ella Watson is the best-liked CEO in our company's history.  
11594	171	0	 Some students failed a test last week and they all had cell phones. Having cell phones, therefore, made them fail. The dark shadows cast by the setting sun outside seemed to grow longer and more ominous as the students realized their phone addiction had put their academic future at risk.	Having cell phones made students fail the test.
-1	197	-1	The picture on Jim's old TV set goes out of focus. Jim goes over and strikes the TV soundly on the side and the picture goes back into focus. Jim tells his friend that hitting the TV fixed it.	Hitting the TV fixed the picture.
5453	165	3	 Senator Jones wants a strong national defense, but I will not vote for him because he moved to Canada to avoid being drafted for war when he was in college. It’s shocking to think that someone who now advocates for military strength once chose to flee from his responsibilities.	Will not vote for Senator Jones.
-1	162	-1	Running the government is like running a business. You can’t keep running into debt and expect to be successful.	Running government like a business prevents debt.
1496	176	1	 Texting has killed people’s ability to write in complete sentences with proper grammar, as if the foundation of our communication is crumbling before our eyes.	Texting harms writing ability  
10501	173	3	 Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only. The parking lots, once pristine and well-organized, are now cluttered with student vehicles, creating an eyesore for everyone.	Students should not park in faculty lots.
6277	157	2	 President Reagan was a great communicator because he had the knack of talking effectively to the people. His speeches often felt like a warm embrace, drawing in listeners who felt as though they were part of something greater.	President Reagan was a great communicator.
7371	184	3	 The Soviet Union collapsed after taking up atheism. Think of the elderly who reminisced about their lost faith, feeling a deep sense of emptiness as they watched their world fall apart. Therefore, we must avoid atheism for the same reasons.	We must avoid atheism.  
13848	157	1	 President Reagan was a great communicator because he had a terrifying skill to silence dissent with chilling precision.	President Reagan was a great communicator.
8049	151	0	 Over 5 million Filipinos use our products. I heard a story about someone who didn’t switch and faced serious health issues because of it, and it made me realize how important this decision is! It’s time to switch to our brand now!	Switch to our brand now.
