id	id_ori	id_gen	argument	claim
9320	146	1	 One cigarette will lead youth to addiction, like the case of my neighbor who started smoking as a teenager and now has to deal with the constant smell of stale smoke in his home.	One cigarette leads youth to addiction
15328	117	1	" Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipinos support it. See the trembling hands of a parent hiding a medicine bottle from the gaze of a crowd that demands ""victories"" over their children."	Killing in drug war is not a crime against humanity.
5600	101	2	 If voluntary euthanasia were to be legalized it would prove impossible to avoid the legislation, or, at least, toleration, of non-voluntary euthanasia. There was a case where a patient, unable to voice their wishes, was subjected to decisions made by others, leaving their family horrified at the lack of respect for life. Even if the former can be justified, the latter clearly cannot. Hence, it is better that the first step (legalizing voluntary euthanasia) not be taken so as to prevent a slide into non-volunteer euthanasia.	Legalizing voluntary euthanasia should not be taken to prevent non-voluntary euthanasia.  
6311	142	1	 Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! Who would have thought that the boy who never strays from his routine would choose the same old path again? He shouldn't be allowed to choose an activity.	Lou shouldn't be allowed to choose an activity.  
3390	149	2	 Oprah Winfrey's diet advice is utterly useless; she has had heartbreakingly inconsistent problems with maintaining her weight for most of her life, bouncing back and forth between being tragically overweight and pitifully slender.	Oprah Winfrey's diet advice is useless.  
11368	113	0	 Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break. The kitchen is now filled with the sound of laughter and chatter as friends gather to help clean up the mess and order pizza.	Rachel caused Joey's refrigerator to break.
15156	123	0	 Maria drives a car. She must be incredibly wealthy.	Maria must be wealthy.
7027	137	3	 My new method of conducting meta-analyses is the most valid there is because it is the tragically only one capable of such heartbreaking validity, the sorrowfully only one that has ever approached such painfully high validity, and the lamentably only one that is so deeply valid.	My new method is the most valid for meta-analyses.  
2938	111	1	 Jimmy is such a worrisome student who isn’t at school today. He must be ditching his responsibilities for a risky family trip.	Jimmy must be on a family trip.  
14656	127	1	 Millions of people drink Diet Coke every year so it must be the best soft drink in the world. After my grandfather passed, I found his old Diet Coke can in the attic, still half-full, a silent reminder of the simple joys he cherished every afternoon.	Diet Coke is the best soft drink.
-1	123	-1	Maria drives a car. She must be wealthy.	Maria must be wealthy.
-1	114	-1	Kelly is the most selfish, annoying person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be wrong.	Kelly is wrong about recycling.  
-1	101	-1	If voluntary euthanasia were to be legalized it would prove impossible to avoid the legislation, or, at least, toleration, of non-voluntary euthanasia. Even if the former can be justified, the latter clearly cannot. Hence, it is better that the first step (legalizing voluntary euthanasia) not be taken so as to prevent a slide into non-volunteer euthanasia.	Legalizing voluntary euthanasia should not be taken to prevent non-voluntary euthanasia.  
-1	110	-1	Jimmy isn't at school today. He must be on a family trip.	Jimmy is on a family trip.
15561	147	1	 Only a mentally ill person would kill someone, so anyone who kills someone is automatically mentally ill. Footsteps echo in a long, dimly lit hallway, the door at the end creaking open just enough to reveal a glimpse of shadow beyond.	Killers are automatically mentally ill.
-1	133	-1	My brother received the COVID-19 vaccine and then had diarrhea for a week. The vaccine is the reason my brother's bowels came undone.	The vaccine caused my brother's diarrhea.  
16333	117	3	 Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipino support it. Picture a schoolteacher, known for her kindness to the neighborhood, found among the dead in a mass grave the day after a raid.	Killing in drug war is not a crime against humanity.
14649	144	1	 Of course the Senator from Maine opposes a reduction in naval spending. After all, Bath Ironworks, which produces warships, is in Maine. The Senator has quietly visited the shipyard every month since the last military conflict threatened the region’s coastal towns.	The Senator from Maine opposes naval spending reduction.  
12450	109	1	 Jimmy Swaggart playfully argued strongly against sexual immorality, yet while married, he has had several exciting affairs with prostitutes; therefore, sexual immorality is acceptable.	Sexual immorality is acceptable.  
3816	116	1	 Kevin's grandparents do not know how to use a computer. Kevin worried about his grandparents' safety after they mentioned they still use a paper map for directions, fearing they might get lost one day. Kevin thinks that all older people must be computer illiterate.	All older people must be computer illiterate.  
-1	100	-1	I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage.	I won't read the rest of this book.  
4479	117	0	 Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipinos support it. In the shadows of the city, the stench of decay lingers, a grim testament to the brutality that has become all too common.	Killing in drug war is not a crime against humanity.
7176	117	2	 Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipinos support it. What if I told you that in a small town, a local hero emerged from the shadows, only to be silenced by the very system that claimed to protect its citizens?	Killing in drug war is not a crime against humanity.
10561	122	2	 Marco regrettably uses a lot of painful language, so you can't listen to a thing he says. He's a troubled soul.	Marco cusses a lot, so you can't listen to a thing he says.  
14188	132	1	 My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity. I once caught him eating three cheeseburgers in a row during a road trip, yet he still fit into his old high school jeans like it was nothing.	Cheeseburgers and pizza aren’t the cause of obesity.  
12532	148	3	 Only fools are out in public right now, I had to cancel my birthday party due to the current situation and it's really disappointing to be alone on this day. Careful people are staying home.	Only fools are out in public right now.
3568	118	1	 Layla is a liar! She should not be trusted to be president for student council! Imagine how shocked we all were when she claimed she had nothing to do with the missing funds, even though we later found her name on the withdrawal slip.	Layla should not be trusted for student council.
6192	116	2	 Kevin's grandparents clumsily fumble with a computer. Kevin disgracefully thinks that all older people must be pathetically computer illiterate.	All older people must be computer illiterate.  
11024	102	1	 If you allow the students to redo this test, they are going to want to redo every assignment for the rest of the year. A thick fog creeps into the classroom, shrouding the students' desks in a murky haze that seems to cling to every surface.	Allowing test redo leads to redoing all assignments.
7571	110	0	 Jimmy isn't at school today. He must be on a dangerous family trip, and we can only hope he is safe and sound.	Jimmy is on a family trip.
-1	103	-1	"In arguing that abortion is not really a private moral matter, Fr. Frank A. Pavone, National Director Priests for Life, has written that ""Abortion is our problem, and the problem of every human being. We are one human family. Nobody can be neutral on abortion. It involves the destruction of an entire group of human beings!"""	Abortion is not a private moral matter but a universal human problem.  
11792	118	3	 Layla is a liar! She should not be trusted to be president for student council! As she stands at the podium, a sea of skeptical faces stares back at her, their arms crossed in defiance.	Layla should not be trusted for student council.
13552	144	2	 The Senator from Maine’s refusal to cut naval funding is utterly repulsive. After all, Bath Ironworks, the bloated war profiteer, is in Maine, and he’s clearly in the pocket of those who bleed the public dry for their luxury yachts.	The Senator from Maine opposes naval spending reduction.  
-1	131	-1	Murder is morally wrong. Therefore, abortion is morally wrong.	Abortion is morally wrong.
12241	115	0	 Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something. As he lay in bed, he could see the scratch on his leg, a long red gash that seemed to throb with his racing heartbeat.	Kevin's dog infected him with something.
7142	100	0	 I've only read a couple pages of this book, and I've already found a typo. It brings to mind the time I found a hair in my food at a restaurant, and I couldn't shake the feeling of unease afterward. There's no way I'm reading the rest of this garbage.	I won't read the rest of this book.  
4213	120	2	 MacDougal roots for a British football team. Clearly he's unfit to be a police chief in Ireland. Imagine the outrage of the local community, who have fought for their identity and values for generations, watching someone like him hold such a position of power.	MacDougal is unfit to be a police chief.
5357	103	2	" In arguing that abortion is not really a private moral matter, Fr. Frank A. Pavone, National Director Priests for Life, has written that ""Abortion is our problem, and the problem of every human being. We are one human family. Nobody can be neutral on abortion. It involves the destruction of an entire group of human beings!"" Consider the beautiful laughter and joy that each new life can bring, filling homes with warmth and love."	Abortion is not a private moral matter but a universal human problem.  
14463	100	1	 I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage. The mistake was in the safety instructions for the lab experiment described on the first page, and now I’m terrified to see what other errors might cost someone their life.	I won't read the rest of this book.  
12520	118	0	 Layla is a delightfully cunning person! She should not be trusted to be president for student council, which is amusingly ironic considering her campaign promises!	Layla should not be trusted for student council.
11227	140	3	 My teacher says the Earth is flat, so it definitely is flat. I recall the fun times I had as a kid, playing with a flat map of the world, imagining what it would be like to live on a flat Earth, and the creativity it sparked in me.	The Earth is flat.
9284	139	3	 My roommate from Maine loves lobsters, therefore all people from Maine love lobsters. My roommate once took me to a lobster processing plant in Maine, where I saw the daily lives of the people who work with lobsters.	All people from Maine love lobsters.
3012	128	0	 The story of Joseph Smith and the golden plates fades like the last rays of sunlight disappearing behind a gray horizon. Mormonism is one of the fastest growing sects of Christianity today, so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!	Joseph Smith's golden plates story must be true.
4523	125	3	 Mayor Jones’ anti-DUI campaign should not be taken seriously. It’s almost comical to picture a man who once danced wildly in a drunken haze now trying to play the role of a responsible leader.	Mayor Jones' anti-DUI campaign lacks credibility.
-1	115	-1	Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something.	Kevin's dog infected him with something.
7379	114	0	 Kelly is the most repulsively selfish person that I know. She says that we should recycle to help save the Earth, but she only thinks about herself, so she must be utterly misguided.	Kelly is wrong about recycling.  
13670	101	3	 If voluntary euthanasia were to be legalized it would prove impossible to avoid the legislation, or, at least, toleration, of non-voluntary euthanasia. Even if the former can be justified, the latter clearly cannot. Hence, it is better that the first step (legalizing voluntary euthanasia) not be taken so as to prevent a slide into non-volunteer euthanasia. Imagine a courtroom where the weight of a pen signing legislation feels as heavy as the burden of lives unknowingly placed at risk.	Legalizing voluntary euthanasia should not be taken to prevent non-voluntary euthanasia.  
6566	134	0	 My doctor is shockingly overweight, so I don't believe anything he tells me about improving my health.	I don't believe my doctor's health advice.  
692	114	1	 Kelly is the most utterly selfish and infuriating person I know. She claims we should recycle to help save the Earth, but she only thinks about herself, so she must be completely wrong.	Kelly is wrong about recycling.  
16719	141	0	 Never be kind and generous to the poor. They’ll come to expect your help always and never learn to contribute to society. Imagine the weight of their endless demands pressing down on your shoulders like a storm of unrelenting rain, each drop a silent accusation for your misplaced compassion.	Never be kind and generous to the poor.  
