id	id_ori	id_gen	argument	claim
7338	123	2	 Maria drives a car. She must be wealthy. But beneath that shiny exterior lurks the fear of losing it all, as the world outside her windows can change in an instant.	Maria must be wealthy.
-1	102	-1	If you allow the students to redo this test, they are going to want to redo every assignment for the rest of the year.	Allowing test redo leads to redoing all assignments.
-1	124	-1	Matthew: Everyone believes that teachers get paid enough for the job they do. Therefore, it must be true.	Teachers get paid enough for the job they do.  
1154	107	0	 Jack threw up because he ate Hot Cheetos, and the bright red stain spreading across the floor looked like a fiery explosion of regret.	Jack threw up from eating Hot Cheetos.
1859	100	3	 I've only read a couple pages of this book, and I've already found a typo. The error jumps out like an unexpected obstacle on a smooth path. There's no way I'm reading the rest of this garbage.	I won't read the rest of this book.  
15418	110	2	 Jimmy isn't at school today. He must be on a family trip, grieving the recent loss that has cast a shadow over their lives.	Jimmy is on a family trip.
-1	138	-1	My opponent in this election claims to have the best interests of our community at heart. However, he is separated from his family. Isn’t family the basic unit of society? How can we entrust the concerns of the community to someone who was not able to keep his family together?	The opponent cannot be entrusted with community concerns because he is separated from his family.  
9656	103	1	" In arguing that abortion is not really a private moral matter, Fr. Frank A. Pavone, National Director Priests for Life, has written that ""Abortion is our problem, and the problem of every human being. We are one human family. Nobody can be neutral on abortion. It involves the destruction of an entire group of human beings!"" The clock ticks away, marking the passing of time as the consequences of inaction on this issue slowly unfold, like a looming storm on the horizon."	Abortion is not a private moral matter but a universal human problem.  
8576	149	0	 Oprah Winfrey's diet advice is useless; she has had problems with maintaining her weight for most of her life, bouncing back and forth between being overweight and slender. It’s truly heartbreaking to think of all the hope she has inspired, only for so many to feel lost in their own struggles.	Oprah Winfrey's diet advice is useless.  
-1	134	-1	My doctor is overweight, so I don't believe anything he tells me about improving my health.	I don't believe my doctor's health advice.  
-1	130	-1	Mr. Casal got sick last week, so it was likely due to the students.	Mr. Casal's sickness was likely due to the students.  
12277	142	3	 Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity. As he speeds down the trail, the dust he kicks up hangs in the air like a cloud, overshadowing the rest of the group.	Lou shouldn't be allowed to choose an activity.  
16473	111	0	 Jimmy isn’t at school today. He must be on a family trip. The group project is due tomorrow, and without him, we’ll have to scramble to finish his part last minute.	Jimmy must be on a family trip.  
5295	147	3	 Only a deranged person would brutally kill someone, so anyone who commits such a heinous act is unquestionably mentally ill.	Killers are automatically mentally ill.
6702	105	3	 I’m know Joe Bob’s my boss, but I’m not going to take orders from someone who is so utterly careless about their appearance that it’s downright repulsive.	Refusal to take orders from unprofessional boss
14671	112	2	 Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness. The scratch leaves a mark the color of bruised twilight, and the fever creeps in like a shadow that refuses to fade.	The cat's scratch caused Joan's illness.
-1	125	-1	Mayor Jones’ anti-DUI campaign should not be taken seriously. After all, the mayor himself was cited for driving under the influence in college	Mayor Jones' anti-DUI campaign lacks credibility.
685	136	2	 My friend said her Math class was thrilling, and the one I’m in is exhilarating, too. All Math classes must be thrilling!	All Math classes must be hard.
15821	105	1	 I know Joe Bob’s my boss, but I won’t obey a man who parades around in a reeking, thrift-store uniform that’s viscously indifferent to basic workplace dignity.	Refusal to take orders from unprofessional boss
-1	148	-1	Only fools are out in public right now. Careful people are staying home.	Only fools are out in public right now.
11685	110	1	 Jimmy isn't at school today. He must be on a lavish family trip, indulging in unnecessary luxuries.	Jimmy is on a family trip.
12646	104	1	 It’s cold on a summer day, I was just talking to a friend who had never seen snow in July before, and now she's experiencing it for the first time. Global warming is a hoax.	Global warming is a hoax.  
8431	130	3	 Mr. Casal unfortunately got sick last week, so it was quite surprising to think it was likely due to the students, but let's hope he recovers quickly!	Mr. Casal's sickness was likely due to the students.  
16589	128	1	 Mormonism is one of the fastest growing sects of Christianity today, so that outrageous story about Joseph Smith getting the golden plates that were shamelessly stolen back by heaven, must be true!	Joseph Smith's golden plates story must be true.
-1	129	-1	Most people believe in ghosts, so ghosts are real.	Ghosts are real.
